feature,importance
ohe__block_675A,0.0001763224
ohe__block_192A,0.00017603411
ohe__block_816A,0.00017585498
ohe__block_157,0.00017573724
ohe__block_612,0.00017548597
ohe__block_226A,0.00017543678
ohe__block_409,0.0001750646
ohe__block_240,0.00017504083
ohe__block_416A,0.00017440075
ohe__block_421,0.00017429343
ohe__block_683B,0.00017416783
ohe__block_361,0.00017350371
ohe__block_705,0.00017341485
ohe__block_519D,0.00017336139
ohe__block_348A,0.00017257221
ohe__block_374,0.00017248894
ohe__block_156,0.00017223363
ohe__block_112,0.0001719673
ohe__block_1,0.00017194898
ohe__block_347B,0.00017184303
ohe__block_219B,0.00017181195
ohe__block_668B,0.00017180604
ohe__block_314B,0.00017173338
ohe__block_889,0.00017101462
ohe__block_17B,0.00017042698
ohe__block_777,0.00017038395
ohe__block_203,0.00017036663
ohe__block_517,0.00017022165
ohe__block_798,0.00017008137
ohe__block_614,0.00017003706
ohe__block_395,0.00017003607
ohe__block_342C,0.00017002306
ohe__block_404B,0.00016993535
ohe__block_68,0.00016936616
ohe__block_271C,0.00016905581
ohe__block_84A,0.0001689807
ohe__block_631,0.00016896243
ohe__block_815B,0.00016875546
ohe__block_468,0.00016872544
ohe__block_310B,0.00016866052
ohe__block_170C,0.00016852634
ohe__block_576,0.00016851016
ohe__block_422,0.00016808754
ohe__block_590A,0.00016789726
ohe__block_18C,0.00016785499
ohe__block_227,0.00016763655
ohe__block_261B,0.000166821
ohe__block_601,0.00016667062
ohe__block_336D,0.00016635962
ohe__block_215,0.0001662925
ohe__block_842G,0.0001660578
ohe__block_660,0.00016596647
ohe__block_515B,0.00016588642
ohe__block_362,0.0001655776
ohe__block_687B,0.00016549902
ohe__block_265B,0.00016549297
ohe__block_472B,0.00016493432
ohe__block_841,0.00016488417
ohe__block_204C,0.00016458883
ohe__block_273D,0.00016444191
ohe__block_305,0.00016427612
ohe__storey_range_37 TO 39,0.00016417715
ohe__block_534,0.0001641451
ohe__block_523,0.00016400123
ohe__block_246,0.00016392906
ohe__block_786D,0.00016386427
ohe__block_714,0.00016361973
ohe__block_123D,0.00016335538
ohe__block_1C,0.00016329228
ohe__block_486A,0.00016293302
ohe__block_910,0.00016264839
ohe__block_118C,0.00016255777
ohe__block_758,0.00016243002
ohe__block_28B,0.00016234627
ohe__block_429,0.00016233159
ohe__block_538,0.00016227642
ohe__block_210,0.00016220451
ohe__block_29,0.00016209112
ohe__block_454,0.0001618754
ohe__block_98,0.0001618516
ohe__block_274A,0.00016168028
ohe__block_632,0.000161637
ohe__block_789,0.00016159777
ohe__block_338C,0.0001612887
ohe__block_342,0.00016094394
